room_name,date,seat_name,availability
Sala SCIENZE DELL'EDUCAZIONE,2025-06-28,POSTO 342 - Ala O 0,[]
Sala SCIENZE DELL'EDUCAZIONE,2025-06-28,POSTO 344 - Ala O 0,[]
Sala SCIENZE DELL'EDUCAZIONE,2025-06-28,POSTO 346 - Ala O 0,[]
Sala SCIENZE DELL'EDUCAZIONE,2025-06-28,POSTO 347 - Ala O 0,[]
Sala SCIENZE DELL'EDUCAZIONE,2025-06-28,POSTO 349 - Ala O 1,[]
Sala SCIENZE DELL'EDUCAZIONE,2025-06-28,POSTO 350 - Ala O 1,[]
Sala SCIENZE DELL'EDUCAZIONE,2025-06-28,POSTO 351 - Ala O 1,[]
Sala SCIENZE DELL'EDUCAZIONE,2025-06-28,POSTO 353 - Ala O 1,[]
Sala SCIENZE DELL'EDUCAZIONE,2025-06-28,POSTO 357 - Ala O 1,[]
Sala SCIENZE DELL'EDUCAZIONE,2025-06-28,POSTO 361 - Ala O 1,[]
Sala SCIENZE DELL'EDUCAZIONE,2025-06-28,POSTO 362 - Ala O 1,[]
Sala SCIENZE DELL'EDUCAZIONE,2025-06-28,POSTO 363 - Ala O 1,[]
Sala TEATRO,2025-06-28,POSTO 250 - Ala I 2,"['13:00', '13:30', '14:00']"
Sala TEATRO,2025-06-28,POSTO 258 - Ala I 2,"['13:00', '17:30']"
Sala TEATRO,2025-06-28,POSTO 251 - Ala I 2,['13:30']
Sala TEATRO,2025-06-28,POSTO 255 - Ala I 2,"['17:00', '17:30']"
Sala TEATRO,2025-06-28,POSTO 257 - Ala I 2,['17:30']
Sala TEATRO,2025-06-28,POSTO 252 - Ala I 2,[]
Sala TEATRO,2025-06-28,POSTO 253 - Ala I 2,[]
Sala TEATRO,2025-06-28,POSTO 254 - Ala I 2,[]
Sala TEATRO,2025-06-28,POSTO 256 - Ala I 2,[]
Sala TEATRO,2025-06-28,POSTO 259 - Ala I 2,[]
Sala TEATRO,2025-06-28,POSTO 260 - Ala I 2,[]
POSTI per DOCENTI/DOTTORANDI Ateneo,2025-06-28,POSTO 264 - Ala I 3 - SALA CINEMA,"['13:00', '13:30', '14:00', '14:30', '15:00']"
POSTI per DOCENTI/DOTTORANDI Ateneo,2025-06-28,POSTO 263 - Ala I 3 - Sala CINEMA,"['13:00', '13:30', '14:00', '14:30']"
POSTI per DOCENTI/DOTTORANDI Ateneo,2025-06-28,POSTO 176 - Ala E 1 - Sala STORIA DELLA LINGUA,"['13:00', '13:30']"
POSTI per DOCENTI/DOTTORANDI Ateneo,2025-06-28,POSTO 367 - Ala O 2 - Sala LINGUE SLAVE,"['13:00', '13:30']"
POSTI per DOCENTI/DOTTORANDI Ateneo,2025-06-28,POSTO 54 - Ala A 3 - Sala TEDESCO,"['13:00', '13:30']"
POSTI per DOCENTI/DOTTORANDI Ateneo,2025-06-28,POSTO 178 - Ala E 1 - Sala STORIA DELLA LINGUA,"['13:00', '17:30']"
POSTI per DOCENTI/DOTTORANDI Ateneo,2025-06-28,POSTO 83 - Ala E -1 - Sala COMPATTI/FRANC/PORTOGHESE,"['13:30', '14:00']"
POSTI per DOCENTI/DOTTORANDI Ateneo,2025-06-28,POSTO 123 - Ala E 0 - Sala ITALIANISTICA,['13:30']
POSTI per DOCENTI/DOTTORANDI Ateneo,2025-06-28,POSTO 190 - Ala E 2 - Sala INGLESE,['13:30']
POSTI per DOCENTI/DOTTORANDI Ateneo,2025-06-28,POSTO 366 - Ala O 2 - Sala LINGUE SLAVE,['13:30']
POSTI per DOCENTI/DOTTORANDI Ateneo,2025-06-28,POSTO 45 - Ala A 2 - Sala TEDESCO,['14:30']
POSTI per DOCENTI/DOTTORANDI Ateneo,2025-06-28,POSTO 121 - Ala E 0 - SALA ITALIANISTICA,"['16:30', '17:00', '17:30']"
POSTI per DOCENTI/DOTTORANDI Ateneo,2025-06-28,POSTO 20 - Ala A -1 - Sala PERIODICI/SPAGNOLO,"['17:00', '17:30']"
POSTI per DOCENTI/DOTTORANDI Ateneo,2025-06-28,POSTO 43 - Ala A 1 - Sala FILOLOGIA ROMANZA,"['17:00', '17:30']"
POSTI per DOCENTI/DOTTORANDI Ateneo,2025-06-28,POSTO 189 - Ala E 2 - Sala INGLESE,[]
POSTI per DOCENTI/DOTTORANDI Ateneo,2025-06-28,POSTO 19 - Ala A -1 - Sala PERIODICI/SPAGNOLO,[]
POSTI per DOCENTI/DOTTORANDI Ateneo,2025-06-28,POSTO 248 - Ala E 3 - Sala AMERICANO/OLANDESE,[]
POSTI per DOCENTI/DOTTORANDI Ateneo,2025-06-28,POSTO 261 - Ala I 2 - Sala TEATRO,[]
POSTI per DOCENTI/DOTTORANDI Ateneo,2025-06-28,POSTO 295 - Ala O 0 - Sala SCIENZE DELL'EDUCAZIONE,[]
POSTI per DOCENTI/DOTTORANDI Ateneo,2025-06-28,POSTO 297 - Ala O 0 - Sala SCIENZE DELL'EDUCAZIONE,[]
PC PORTATILE,2025-06-28,NOTEBOOK 3,"['13:00', '13:30', '14:00', '14:30', '15:00', '15:30', '16:00', '16:30', '17:00', '17:30']"
PC PORTATILE,2025-06-28,NOTEBOOK 4,"['13:00', '13:30', '14:00', '14:30', '15:00', '15:30', '16:00', '16:30', '17:00', '17:30']"
PC PORTATILE,2025-06-28,NOTEBOOK 1,"['13:30', '14:00']"
PC PORTATILE,2025-06-28,NOTEBOOK 2,"['14:00', '14:30', '15:00', '15:30', '16:00', '16:30', '17:00', '17:30']"
